Abbreviation,Preferred_Name,Status,Resolved_Query,CID,Message
Perfluorohexane,Perfluorohexane,resolved,perfluorohexane,9639,ok
Perfluorooctane,Perfluorooctane,resolved,perfluorooctane,9387,ok
Perfluorodecalin,Perfluorodecalin,resolved,perfluorodecalin,9386,ok
Perfluorotributylamine,Perfluorotributylamine,resolved,perfluorotributylamine,9397,ok
Perfluorotripropylamine,Perfluorotripropylamine,resolved,perfluorotripropylamine,67645,ok
6:2 FTA,6:2 Fluorotelomer acrylate,resolved,6:2 fluorotelomer acrylate,87149,ok
8:2 FTA,8:2 Fluorotelomer acrylate,resolved,8:2 fluorotelomer acrylate,119747,ok
6:2 FTMA,6:2 Fluorotelomer methacrylate,resolved,6:2 fluorotelomer methacrylate,75066,ok
8:2 FTMA,8:2 Fluorotelomer methacrylate,resolved,8:2 fluorotelomer methacrylate,160606,ok
6:2 diPAP,6:2 Fluorotelomer phosphate diester,resolved,6:2 fluorotelomer phosphate diester,14550408,ok
8:2 diPAP,8:2 Fluorotelomer phosphate diester,resolved,8:2 fluorotelomer phosphate diester,3022253,ok
6:2/8:2 diPAP,6:2/8:2 Fluorotelomer phosphate diester,unresolved,,,no query names tried
PFMBA,Perfluoro-4-methoxybutanoic acid,resolved,perfluoro-4-methoxybutanoic acid,12498036,ok
PFMPA,Perfluoro-3-methoxypropanoic acid,resolved,perfluoro-3-methoxypropanoic acid,120228,ok
PFEEA,Perfluoroethoxyethanoic acid,unresolved,,,no query names tried
PFPrOPrA,Perfluoropropoxypropanoic acid,unresolved,,,no query names tried
PFO4DA,"Perfluoro-3,5,7,9-tetraoxadecanoic acid",resolved,"perfluoro-3,5,7,9-tetraoxadecanoic acid",57358057,ok
6:2 Cl-PFESA,6:2 chlorinated polyfluoroether sulfonic acid,duplicate,6:2 Cl-PFESA,22568738,duplicate CID 22568738; not added to dataset
8:2 Cl-PFESA,8:2 chlorinated polyfluoroether sulfonic acid,duplicate,8:2 Cl-PFESA,15099039,duplicate CID 15099039; not added to dataset
